term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-1.7065430829550166,1.0168524243293695,-3.663373934175024,0.3474499641904714
marker_type_modelmicrosatellite,0.5000957891145624,0.10214620613428782,0.30374488429403895,0.7039202766017029
marker_type_modelmixed_other,0.8349871224983267,0.392209308794058,0.06891179212524703,1.5925686477672178
marker_type_modelSNPs,0.6009285998604528,0.2692364161365542,0.08561212690880649,1.1418329768954016
study_duration_sc,-0.08319190958605542,0.04303740624295309,-0.16948601021201629,-7.995805415150906e-4
breeding_systemmonogamy,0.15986163916847704,0.2608527718145222,-0.3484877791250137,0.6774909577978887
breeding_systemno_social_bond,0.7741927274440275,0.5245864065949816,-0.26416856817768986,1.7765910256863078
breeding_systempolyandry,0.7641817358304587,0.49748496862224945,-0.1989868400910264,1.7436391344387645
nest_type_modelground,0.4151296993960443,0.2836920905221,-0.13991077771497726,0.971640511540621
nest_type_modelopen,0.09972022627205859,0.23103220934737415,-0.35080432349344226,0.5488470325530926
nest_type_modelother_enclosed,-0.15696135131320854,0.33660849935862136,-0.8123917969028424,0.5075446736764756
migrationWeak,-0.49215297193065216,0.18596275310647392,-0.8612497142932084,-0.13232509004864632
coloniality1,-0.08071109905800519,0.21759361587924778,-0.506471801494924,0.3434266888588573
CS_max_sc,0.32757932991379823,0.12451464947380014,0.08572832901041826,0.5750279095717358
log_body_mass_sc,0.03153704682949456,0.16189033369975225,-0.2882922632383356,0.3459095467703377
abs_lat_sc,-0.22871296452044704,0.0739763762217553,-0.3755850270013514,-0.08408276305983256
