Study_ID,Scientific_name,Common_name,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,nest_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,breeding_system,parental_care,mono_poly_model,cooperative_breeding,body_mass,CS_max,nest_type_model,marker_type_model,nest_box_model,study_duration_num,coloniality,migration,MonoBIRDBASE,PolyBIRDBASE,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring
447Burg2006,Thalassarche_chrysostoma,grey-headed_albatross,83,7.2,90,6.7,-54,-38,no,microsatellite,M,1998,1999,2,October,October,Thalassarche_chrysostoma,Thalassarche_chrysostoma,Thalassarche_chrysostoma,Thalassarche_chrysostoma,monogamy,biparental,monogamy,NA,3614,1,ground,microsatellite,no,2,1,Weak,Mono,NA,6,84,6,77
447Burg2006,Thalassarche_melanophrys,black-browed_albatross,87,5.7,90,5.6,-54,-38,no,microsatellite,M,1998,1999,2,October,November,Thalassarche_melanophrys,Thalassarche_melanophrys,Thalassarche_melanophris,Thalassarche_melanophris,monogamy,biparental,monogamy,no,3198.333333,1,ground,microsatellite,no,2,1,Weak,Mono,NA,5,85,5,82
421 Lorentsen2000,Thalassoica_antarctica,antarctic_petrel,41,7.3,41,7.3,-71.88,5.17,no,DNA_fingerprinting,NA,1993,1994,2,January,February,Thalassoica_antarctica,Thalassoica_antarctica,Thalassoica_antarctica,Thalassoica_antarctica,monogamy,biparental,monogamy,NA,658.3333333,1,NA,DNA_fingerprinting,no,2,1,Weak,Mono,NA,3,38,3,38
69Tarwater2013,Thamnophilus_atrinucha,black-crowned_antshrike,89,3.4,50,4,9.22,-79.65,no,microsatellite,CP,2003,2008,6,January,September,Thamnophilus_atrinucha,Thamnophilus_atrinucha,Thamnophilus_atrinucha,Thamnophilus_atrinucha,monogamy,biparental,NA,no,23.63333333,2,open,microsatellite,no,6,0,Weak,NA,NA,2,48,3,86
448Haggerty2001,Thryothorus_ludovicianus,carolina_wren,84,0,23,0,34.82,-87.63,yes,DNA_fingerprinting,NA,1996,1997,2,March,August,Thryothorus_ludovicianus,Thryothorus_ludovicianus,Thryothorus_ludovicianus,Thryothorus_ludovicianus,monogamy,biparental,monogamy,NA,19.8,6,NA,DNA_fingerprinting,yes,2,0,Weak,Mono,NA,0,23,0,84
157Cramer2011,Thryothorus_pleurostictus,banded_wren,156,4.5,50,10,10.67,-85.5,yes,SNPs,NA,2002,2005,4,April,August,Thryothorus_pleurostictus,Thryothorus_pleurostictus,Thryophilus_pleurostictus,Thryophilus_pleurostictus,monogamy,biparental,NA,NA,18.2,5,NA,SNPs,yes,4,0,Weak,NA,NA,5,45,7,149
409Douglas2012,Thryothorus_rufalbus,rufous-and-white_wren,158,1.9,51,5.9,10.67,-85.5,no,microsatellite,SP,2003,2010,8,April,July,Thryothorus_rufalbus,Thryothorus_rufalbus,Thryophilus_rufalbus,Thryophilus_rufalbus,monogamy,biparental,NA,NA,26.03333333,4,other_enclosed,microsatellite,no,8,0,Weak,NA,NA,3,48,3,155
327Stanback2002,Tockus_monteiri,monteiro’s_hornbill,135,0,38,0,-22.53,16.97,yes,DNA_fingerprinting,CV,1995,1996,2,December,February,Tockus_monteiri,Tockus_monteiri,Tockus_monteiri,Tockus_monteiri,monogamy,biparental,NA,NA,327.5,8,cavity,DNA_fingerprinting,yes,2,0,Weak,NA,NA,0,38,0,135
149 Bowers2015,Troglodytes_aedon,house_wren,1772,16.4,361,35.2,40.67,-88.88,yes,microsatellite,"CV,O,CR",2004,2006,3,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,3,0,Weak,Mono,Poly,127,234,291,1481
24Brylawski2004,Troglodytes_aedon,house_wren,54,1.9,9,11.1,49.38,-88.02,yes,microsatellite,"CV,O,CR",2004,2006,3,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,3,0,Weak,Mono,Poly,1,8,1,53
