Study_ID,Scientific_name,Common_name,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,nest_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,breeding_system,parental_care,mono_poly_model,cooperative_breeding,body_mass,CS_max,nest_type_model,marker_type_model,nest_box_model,study_duration_num,coloniality,migration,MonoBIRDBASE,PolyBIRDBASE,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring
128Green2002,Acanthiza_pusilla,brown_thornbill,178,6.2,67,11.9,-35.27,149.1,no,DNA_fingerprinting,DM,1995,1997,3,July,December,Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,monogamy,biparental,NA,no,7.733333333,4,ground,DNA_fingerprinting,no,3,0,Weak,NA,NA,8,59,11,167
389Rosenfield2015,Accipiter_cooperii,Cooper’s_hawk,140,19.3,44,34.1,44.97,-90.05,no,microsatellite,PL,2003,2007,5,February,April,Accipiter_cooperii,Accipiter_cooperii,Astur_cooperii,Astur_cooperii,monogamy,biparental,NA,NA,429.6666667,6,open,microsatellite,no,5,0,Strong,NA,NA,15,29,27,113
52Leisler2000,Acrocephalus_arundinaceus,great_reed_warbler,194,9.8,48,10.4,49.67,10.85,no,DNA_fingerprinting,CP,1992,1997,6,May,July,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,monogamy,biparental,mixed,NA,33.75,6,open,DNA_fingerprinting,no,6,0,Strong,Mono,Poly,5,43,19,175
123Hasselquist1996,Acrocephalus_arundinaceus,great_reed_warbler,678,3.4,NA,NA,59.17,15.42,no,DNA_fingerprinting,CP,1987,1993,7,May,July,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,monogamy,biparental,mixed,NA,33.75,6,open,DNA_fingerprinting,no,7,0,Strong,Mono,Poly,NA,NA,23,655
36Arlt2004,Acrocephalus_arundinaceus,great_reed_warbler,543,3.13,132,6.06,59.1,15.25,no,microsatellite,CP,1994,1998,5,May,July,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,monogamy,biparental,mixed,NA,33.75,6,open,microsatellite,no,5,0,Strong,Mono,Poly,8,124,17,526
412Hamao2005,Acrocephalus_bistrigiceps,black-browed_reed-warbler,140,6.4,37,13.5,36.87,139.05,no,microsatellite,CP,1993,1997,5,May,July,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,monogamy,biparental,mixed,NA,9.65,6,open,microsatellite,no,5,0,Strong,Mono,Poly,5,32,9,131
51Leisler2000,Acrocephalus_palustris,marsh_warbler,131,3.1,33,9.1,50.37,10.75,no,DNA_fingerprinting,CP,1994,1996,3,NA,NA,Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,monogamy,biparental,mixed,NA,13.4,6,open,DNA_fingerprinting,no,3,0,Strong,Mono,Poly,3,30,4,127
20Langefors1998,Acrocephalus_schoenobaenus,sedge_warbler,201,7.5,44,22.7,59.17,15.42,no,DNA_fingerprinting,CP,1990,1992,3,May,July,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,monogamy,biparental,mixed,NA,13,8,open,DNA_fingerprinting,no,3,0,Strong,Mono,Poly,10,34,15,186
380Marshall2007,Acrocephalus_schoenobaenus,sedge_warbler,403,8.4,85,18.8,51.45,-0.55,no,microsatellite,CP,1993,1998,6,May,July,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,monogamy,biparental,mixed,NA,13,8,open,microsatellite,no,6,0,Strong,Mono,Poly,16,69,34,369
334Davies2003,Acrocephalus_scirpaceus,Eurasian_reed-warbler,186,6.5,52,15.4,52.3,0.3,no,microsatellite,CP,2000,2001,2,May,July,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,monogamy,biparental,NA,no,12.88333333,5,open,microsatellite,no,2,1,Strong,NA,NA,8,44,12,174
25Mee2004,Actitis_hypoleucos,common_sandpiper,83,15.7,27,18.5,54.75,-3.02,no,DNA_fingerprinting,SC,1998,1999,2,April,June,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,monogamy,biparental,mixed,NA,63,5,ground,DNA_fingerprinting,no,2,0,Strong,Mono,Poly,5,22,13,70
114Blomqvist2002,Actitis_hypoleucos,common_sandpiper,53,7.5,15,20,57.78,12.32,no,DNA_fingerprinting,SC,1998,2000,3,May,June,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,monogamy,biparental,mixed,NA,63,5,ground,DNA_fingerprinting,no,3,0,Strong,Mono,Poly,3,12,4,49
301Koopman2007,Aegolius_funereus,boreal_owl,109,0,32,0,NA,39.9,no,microsatellite,CV,1995,2001,7,NA,NA,Aegolius_funereus,Aegolius_funereus,Aegolius_funereus,Aegolius_funereus,monogamy,biparental,mixed,NA,137.75,6,cavity,microsatellite,no,7,0,Weak,Mono,Poly,0,32,0,109
191Liu2015,Agelaius_phoeniceus,red-winged_blackbird,125,25.6,40,50,42.4,-85.4,no,microsatellite,CP,2004,2005,2,March,June,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,biparental,polygamy,no,56.4,4,open,microsatellite,no,2,0,Strong,NA,Poly,20,20,32,93
191Liu2015,Agelaius_phoeniceus,red-winged_blackbird,87,26.4,27,48.1,41.55,-80.18,no,microsatellite,CP,2009,2009,1,NA,NA,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,biparental,polygamy,no,56.4,4,open,microsatellite,no,1,0,Strong,NA,Poly,13,14,23,64
191Liu2015,Agelaius_phoeniceus,red-winged_blackbird,56,28.6,20,50,26.53,-78.53,no,microsatellite,CP,2011,2011,1,NA,NA,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,biparental,polygamy,no,56.4,4,open,microsatellite,no,1,0,Strong,NA,Poly,10,10,16,40
121Westneat1993,Agelaius_phoeniceus,red-winged_blackbird,235,24.7,68,41.2,42.5,-76.47,no,DNA_fingerprinting,CP,1988,1989,2,April,June,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,biparental,polygamy,no,56.4,4,open,DNA_fingerprinting,no,2,0,Strong,NA,Poly,28,40,58,177
361 Weatherhead1995,Agelaius_phoeniceus,red-winged_blackbird,617,25.6,203,NA,44.52,-76.37,no,DNA_fingerprinting,CP,1986,1991,6,April,June,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,biparental,polygamy,no,56.4,4,open,DNA_fingerprinting,no,6,0,Strong,NA,Poly,NA,NA,158,459
152Gray1996,Agelaius_phoeniceus,red-winged_blackbird,403,33.7,134,53.7,46.88,-119.25,no,DNA_fingerprinting,CP,1990,1992,3,March,June,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,biparental,polygamy,no,56.4,4,open,DNA_fingerprinting,no,3,0,Strong,NA,Poly,72,62,136,267
191Liu2015,Agelaius_xanthomus,yellow-shouldered_blackbird,87,23,30,36.7,17.93,-67.1,yes,microsatellite,"PL,CV,CP",2012,2012,1,May,June,Agelaius_xanthomus,Agelaius_xanthomus,Agelaius_xanthomus,Agelaius_xanthomus,monogamy,biparental,monogamy,NA,38.44,4,cavity,microsatellite,yes,1,0,Weak,Mono,NA,11,19,20,67
237Hutchinson2007,Alauda_arvensis,skylark,171,20.5,52,26.9,51.17,-4.63,no,microsatellite,SC,1997,2000,4,April,July,Alauda_arvensis,Alauda_arvensis,Alauda_arvensis,Alauda_arvensis,monogamy,biparental,monogamy,no,36.71666667,7,ground,microsatellite,no,4,0,Weak,Mono,NA,14,38,35,136
233Lifjeld2005,Alle_alle,little_auk,26,0,26,0,77,15.37,no,microsatellite,"BU,CR",2002,2002,1,June,August,Alle_alle,Alle_alle,Alle_alle,Alle_alle,monogamy,biparental,monogamy,no,170,1,cavity,microsatellite,no,1,1,Strong,Mono,NA,0,26,0,26
266Wojczulanis-Jakubas2009,Alle_alle,little_auk,62,3.2,64,3.1,77,15.55,no,microsatellite,"BU,CR",2004,2006,3,June,July,Alle_alle,Alle_alle,Alle_alle,Alle_alle,monogamy,biparental,monogamy,no,170,1,cavity,microsatellite,no,3,1,Strong,Mono,NA,2,62,2,60
68Hill2005,Ammodramus_maritimus,seaside_sparrow,47,10.6,18,16.7,32.77,-79.98,no,microsatellite,CP,2000,2001,2,June,August,Ammodramus_maritimus,Ammodramus_maritimus,Ammospiza_maritima,Ammospiza_maritima,monogamy,biparental,monogamy,NA,24.225,5,open,microsatellite,no,2,0,Weak,Mono,NA,3,15,5,42
232Kreisinger2010,Anas_platyrhynchos,mallard,204,9.3,25,48,49.15,14.72,no,microsatellite,"CP,CV,O",2004,2004,1,April,July,Anas_platyrhynchos,Anas_platyrhynchos,Anas_platyrhynchos,Anas_platyrhynchos,monogamy,uniparental,mixed,NA,1170.833333,18,cavity,microsatellite,no,1,0,Weak,Mono,Poly,12,13,19,185
235Peters2003,Anas_strepera,gadwalls,261,4.2,29,27.6,48.62,-99.08,no,microsatellite,SC,1997,1997,1,May,August,Anas_strepera,Anas_strepera,Mareca_strepera,Mareca_strepera,monogamy,uniparental,monogamy,NA,857.5,15,ground,microsatellite,no,1,0,Weak,Mono,NA,8,21,11,250
189Reyer1997,Anthus_spinoletta,water_pipit,1052,5.2,258,12.4,46.78,9.85,no,DNA_fingerprinting,CP,1990,1992,3,June,July,Anthus_spinoletta,Anthus_spinoletta,Anthus_spinoletta,Anthus_spinoletta,monogamy,biparental,mixed,NA,21.35,6,open,DNA_fingerprinting,no,3,0,Strong,Mono,Poly,32,226,55,997
459Martins2002,Apus_apus,common_swift,88,4.5,42,9.5,51.75,-1.25,yes,DNA_fingerprinting,CP,1991,1992,2,May,June,Apus_apus,Apus_apus,Apus_apus,Apus_apus,monogamy,biparental,monogamy,NA,41.5,4,open,DNA_fingerprinting,yes,2,1,Strong,Mono,NA,4,38,4,84
210Rudnick2005,Aquila_heliaca,eastern_imperial_eagle,166,0,86,0,53.48,63.62,no,microsatellite,CP,1999,2002,4,April,August,Aquila_heliaca,Aquila_heliaca,Aquila_heliaca,Aquila_heliaca,monogamy,biparental,monogamy,NA,3215,4,open,microsatellite,no,4,0,Strong,Mono,NA,0,86,0,166
74Miño2011b,Egretta_alba,great_egret,50,0,25,0,NA,NA,no,microsatellite,PL,2006,2008,3,September,January,Casmerodius_albus,Casmerodius_albus,Ardea_alba,Ardea_alba,monogamy,biparental,monogamy,NA,1013.1,6,open,microsatellite,no,3,1,Weak,Mono,NA,0,25,0,50
230Marks1999,Asio_otus,long-eared_owl,59,0,12,0,46.88,-114.12,no,DNA_fingerprinting,"CV,O",1997,1998,2,March,July,Asio_otus,Asio_otus,Asio_otus,Asio_otus,monogamy,biparental,monogamy,NA,296.3333333,7,cavity,DNA_fingerprinting,no,2,0,Weak,Mono,NA,0,12,0,59
430Rodriguez-Martínez2014,Athene_cunicularia,burrowing_owl,121,1.7,68,1.5,-38.72,-62.27,no,microsatellite,BU,2006,2012,7,November,February,Athene_cunicularia,Athene_cunicularia,Athene_cunicularia,Athene_cunicularia,monogamy,biparental,mixed,NA,193.2833333,11,cavity,microsatellite,no,7,1,Weak,Mono,Poly,1,67,2,119
473Müller2001,Athene_noctua,little_owl,53,0,16,0,51.27,6.37,yes,DNA_fingerprinting,"SC,CV",1998,1999,2,March,June,Athene_noctua,Athene_noctua,Athene_noctua,Athene_noctua,monogamy,biparental,monogamy,NA,175,6,cavity,DNA_fingerprinting,yes,2,0,Weak,Mono,NA,0,16,0,53
162Pravosudova2002,Baeolophus_bicolor,tufted_titmouse,34,8.8,9,22.2,40,-82.88,yes,DNA_fingerprinting,CP,1995,1998,4,May,June,Baeolophus_bicolor,Baeolophus_bicolor,Baeolophus_bicolor,Baeolophus_bicolor,monogamy,cooperation,monogamy,NA,21.8,7,open,DNA_fingerprinting,yes,4,0,Weak,Mono,NA,2,7,3,31
10Casey2011,Bartramia_longicauda,upland_sandpiper,177,18.1,56,30,39.08,-96.58,no,microsatellite,NA,2003,2007,5,May,June,Bartramia_longicauda,Bartramia_longicauda,Bartramia_longicauda,Bartramia_longicauda,monogamy,biparental,monogamy,NA,160.8333333,5,NA,microsatellite,no,5,0,Strong,Mono,NA,17,39,32,145
374Lemons2015,Branta_bernicla,black_brant,374,5.6,NA,NA,61.25,-165.58,no,microsatellite,SC,1996,2005,10,June,July,Branta_bernicla,Branta_bernicla,Branta_bernicla,Branta_bernicla,monogamy,biparental,monogamy,NA,1335,10,ground,microsatellite,no,10,1,Strong,Mono,NA,NA,NA,21,353
209Moore2012,Branta_canadensis,Canada_geese,NA,NA,42,14.3,43,-84,no,microsatellite,SC,2000,2002,3,March,June,Branta_canadensis,Branta_canadensis,Branta_canadensis,Branta_canadensis,monogamy,biparental,mixed,NA,4906.6,8,ground,microsatellite,no,3,1,Strong,Mono,Poly,6,36,NA,NA
408Choudhury1993,Branta_leucopsis,barnacle_goose,16,0,9,0,78.92,11.9,no,DNA_fingerprinting,SC,1989,1989,1,June,July,Branta_leucopsis,Branta_leucopsis,Branta_leucopsis,Branta_leucopsis,monogamy,biparental,mixed,NA,1685,9,ground,DNA_fingerprinting,no,1,1,Strong,Mono,Poly,0,9,0,16
254Larsson1995,Branta_leucopsis,barnacle_goose,137,0,63,0,57.28,18.75,no,DNA_fingerprinting,SC,1989,1991,3,May,July,Branta_leucopsis,Branta_leucopsis,Branta_leucopsis,Branta_leucopsis,monogamy,biparental,mixed,NA,1685,9,ground,DNA_fingerprinting,no,3,1,Strong,Mono,Poly,0,63,0,137
278Woolaver2013,Buteo_ridgwayi,Ridgway’s_hawk,79,0,41,0,19,-70,no,microsatellite,PL,2005,2009,5,January,April,Buteo_ridgwayi,Buteo_ridgwayi,Buteo_ridgwayi,Buteo_ridgwayi,monogamy,biparental,monogamy,no,352.75,2,open,microsatellite,no,5,0,Weak,Mono,NA,0,41,0,79
109Briggs2012,Buteo_swainsoni,Swainson’s_hawk,56,5.4,27,7.4,41.82,-122,no,microsatellite,CP,2008,2010,3,May,August,Buteo_swainsoni,Buteo_swainsoni,Buteo_swainsoni,Buteo_swainsoni,monogamy,nk_cooperation,NA,NA,847.1666667,4,open,microsatellite,no,3,0,Strong,NA,NA,2,25,3,53
680Chaine2008,Calamospiza_melanocorys,lark_bunting,455,25.1,153,52.3,41.35,-104.08,no,microsatellite,CP,1996,1998,3,May,August,Calamospiza_melanocorys,Calamospiza_melanocorys,Calamospiza_melanocorys,Calamospiza_melanocorys,monogamy,nk_cooperation,mixed,NA,38.56666667,6,open,microsatellite,no,3,0,Strong,Mono,Poly,80,73,114,341
229Reneerkens2014,Calidris_alba,sanderling,342,2,48,6.2,74.5,-21,no,microsatellite,CP,2003,2011,9,May,July,Calidris_alba,Calidris_alba,Calidris_alba,Calidris_alba,monogamy,biparental,mixed,no,61,4,open,microsatellite,no,9,0,Strong,Mono,Poly,3,45,7,335
155Pierce1998,Calidris_maritima,purple_sandpiper,82,1.2,27,3.7,78.22,15.58,no,DNA_fingerprinting,SC,1994,1995,2,May,July,Calidris_maritima,Calidris_maritima,Calidris_maritima,Calidris_maritima,monogamy,biparental,monogamy,NA,76.66666667,4,ground,DNA_fingerprinting,no,2,0,Strong,Mono,NA,1,26,1,81
114Blomqvist2002,Calidris_mauri,western_sandpiper,61,6.6,25,8,64.33,-164.93,no,DNA_fingerprinting,SC,1996,1996,1,May,June,Calidris_mauri,Calidris_mauri,Calidris_mauri,Calidris_mauri,monogamy,biparental,monogamy,NA,28.23333333,5,ground,DNA_fingerprinting,no,1,0,Strong,Mono,NA,2,23,4,57
60Davis2017,Callipepla_squamata,scaled_quail,NA,NA,22,9.1,36,-100,no,microsatellite,NA,2013,2014,2,May,August,Callipepla_squamata,Callipepla_squamata,Callipepla_squamata,Callipepla_squamata,monogamy,biparental,NA,NA,195.5,16,NA,microsatellite,no,2,1,Weak,NA,NA,2,20,NA,NA
213Bried2010,Calonectris_diomedea,Cory’s_shearwater,69,11.6,44,18.2,36.92,-25.17,no,microsatellite,"BU,CR",2002,2003,2,March,October,Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,monogamy,biparental,monogamy,NA,707,1,cavity,microsatellite,no,2,1,Strong,Mono,NA,8,36,8,61
106Rabouam2000,Calonectris_diomedea,Cory’s_shearwater,34,0,22,0,42,9,no,DNA_fingerprinting,"BU,CR",1994,1996,3,March,October,Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,monogamy,biparental,monogamy,NA,707,1,cavity,DNA_fingerprinting,no,3,1,Strong,Mono,NA,0,22,0,34
207Swatschek1994,Calonectris_diomedea,Cory’s_shearwater,46,0,29,0,35,24,no,DNA_fingerprinting,"BU,CR",1989,1993,5,March,October,Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,monogamy,biparental,monogamy,NA,707,1,cavity,DNA_fingerprinting,no,5,1,Strong,Mono,NA,0,29,0,46
174Ritchison1994,Cardinalis_cardinalis,Northern_cardinal,37,13.5,19,15.8,37.65,-84.12,no,DNA_fingerprinting,CP,1992,1992,1,April,August,Cardinalis_cardinalis,Cardinalis_cardinalis,Cardinalis_cardinalis,Cardinalis_cardinalis,monogamy,biparental,mixed,NA,44.63333333,5,open,DNA_fingerprinting,no,1,0,Weak,Mono,Poly,3,16,5,32
212Bonlokke-Pedersen2002,Carduelis_cannabina,Eurasian_linnet,106,3.8,22,9.1,56.5,10.83,no,microsatellite,CP,1998,1999,2,April,August,Carduelis_cannabina,Carduelis_cannabina,Linaria_cannabina,Linaria_cannabina,monogamy,biparental,mixed,NA,20.08333333,6,open,microsatellite,no,2,1,Weak,Mono,Poly,2,20,4,102
172Gissing1998,Carduelis_tristis,American_goldfinch,70,14.3,15,26.7,43.53,-80.23,no,DNA_fingerprinting,CP,1992,1992,1,June,NA,Carduelis_tristis,Carduelis_tristis,Spinus_tristis,Spinus_tristis,monogamy,biparental,mixed,no,12.95,7,open,DNA_fingerprinting,no,1,0,Weak,Mono,Poly,4,11,10,60
215Winternitz2015,Carpodacus_erythrinus,scarlet_rosefinch,496,16.1,116,26.7,48.82,13.93,no,microsatellite,CP,2000,2009,10,May,July,Carpodacus_erythrinus,Carpodacus_erythrinus,Carpodacus_erythrinus,Carpodacus_erythrinus,monogamy,biparental,mixed,no,25.85,6,open,microsatellite,no,10,1,Strong,Mono,Poly,31,85,80,416
159Lindstedt2007,Carpodacus_mexicanus,house_finch,212,9,59,15.3,46.85,-114.02,no,microsatellite,CP,1995,2004,10,March,August,Carpodacus_mexicanus,Carpodacus_mexicanus,Haemorhous_mexicanus,Haemorhous_mexicanus,monogamy,biparental,NA,NA,21.725,7,open,microsatellite,no,10,0,Weak,NA,NA,9,50,19,193
170Hill1994,Carpodacus_mexicanus,house_finch,119,8.4,35,14.3,42.27,-83.73,no,DNA_fingerprinting,CP,1991,1991,1,February,July,Carpodacus_mexicanus,Carpodacus_mexicanus,Haemorhous_mexicanus,Haemorhous_mexicanus,monogamy,biparental,NA,NA,21.725,7,open,DNA_fingerprinting,no,1,0,Weak,NA,NA,5,30,10,109
89Millar1994,Catharacta_lonnbergi,brown_skua,45,0,16,0,-43.8,-176.5,no,DNA_fingerprinting,SC,1987,1991,5,November,January,Catharacta_lonnbergi,Catharacta_lonnbergi,Stercorarius_antarcticus,Stercorarius_antarcticus,monogamy,nk_cooperation,NA,NA,1591.666667,2,ground,DNA_fingerprinting,no,5,1,Strong,NA,NA,0,16,0,45
65Millar1997,Catharacta_maccormicki,south_polar_skua,14,7.1,13,7.7,-77.52,167.77,no,DNA_fingerprinting,SC,1988,1989,2,December,February,Catharacta_maccormicki,Catharacta_maccormicki,Stercorarius_maccormicki,Stercorarius_maccormicki,monogamy,biparental,NA,NA,1315,2,ground,DNA_fingerprinting,no,2,1,Strong,NA,NA,1,12,1,13
173Maurer2011,Centropus_phasianinus,pheasant_coucal,59,18.6,21,47.6,-12.43,131,no,microsatellite,DM,2003,2006,4,November,March,Centropus_phasianinus,Centropus_phasianinus,Centropus_phasianinus,Centropus_phasianinus,monogamy,biparental,NA,no,331.5,5,ground,microsatellite,no,4,0,Weak,NA,NA,10,11,11,48
439Anker-Nilssen2010,Cepphus_grylle,black_guillemot,46,0,32,0,67.43,11.88,no,microsatellite,"CR,CV,SC",2000,2007,8,June,July,Cepphus_grylle,Cepphus_grylle,Cepphus_grylle,Cepphus_grylle,monogamy,biparental,monogamy,NA,421.8666667,2,cavity,microsatellite,no,8,1,Strong,Mono,NA,0,32,0,46
378Fleischer1997,Cercomacra_tyrannina,dusky_antbird,15,0,9,0,9.12,-79.7,no,DNA_fingerprinting,PN,1993,1994,2,April,September,Cercomacra_tyrannina,Cercomacra_tyrannina,Cercomacroides_tyrannina,Cercomacroides_tyrannina,monogamy,biparental,NA,NA,16.5,2,other_enclosed,DNA_fingerprinting,no,2,0,Weak,NA,NA,0,9,0,15
247Maher2017,Charadrius_alexandrinus,kentish_plover,46,0,19,0,38.4,-26.96,no,microsatellite,SC,2009,2012,4,NA,NA,Charadrius_alexandrinus,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Anarhynchus_alexandrinus,monogamy,biparental,mixed,no,47.725,3,ground,microsatellite,no,4,0,Weak,Mono,Poly,0,19,0,46
247Maher2017,Charadrius_alexandrinus,kentish_plover,120,0.8,63,1.6,15.9,-23.98,no,microsatellite,SC,2007,2013,7,October,November,Charadrius_alexandrinus,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Anarhynchus_alexandrinus,monogamy,biparental,mixed,no,47.725,3,ground,microsatellite,no,7,0,Weak,Mono,Poly,1,62,1,119
247Maher2017,Charadrius_alexandrinus,kentish_plover,184,1.6,73,4.1,36.72,35.05,no,microsatellite,SC,1998,1999,2,May,June,Charadrius_alexandrinus,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Anarhynchus_alexandrinus,monogamy,biparental,mixed,no,47.725,3,ground,microsatellite,no,2,0,Weak,Mono,Poly,3,70,3,181
247Maher2017,Charadrius_alexandrinus,kentish_plover,19,0,12,0,16.8,41.88,no,microsatellite,SC,2011,2011,1,April,July,Charadrius_alexandrinus,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Anarhynchus_alexandrinus,monogamy,biparental,mixed,no,47.725,3,ground,microsatellite,no,1,0,Weak,Mono,Poly,0,12,0,19
247Maher2017,Charadrius_alexandrinus,kentish_plover,57,0,28,0,24.27,54.6,no,microsatellite,SC,2005,2006,2,March,July,Charadrius_alexandrinus,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Anarhynchus_alexandrinus,monogamy,biparental,mixed,no,47.725,3,ground,microsatellite,no,2,0,Weak,Mono,Poly,0,28,0,57
247Maher2017,Charadrius_falklandicus,two-banded_plover,15,0,6,0,-52.43,-59.08,no,microsatellite,NA,2005,2008,4,September,February,Charadrius_falklandicus,Charadrius_falklandicus,Anarhynchus_falklandicus,Anarhynchus_falklandicus,monogamy,NA,NA,NA,67,4,NA,microsatellite,no,4,0,Strong,NA,NA,0,6,0,15
238Wallander2001,Charadrius_hiaticula,ringed_plover,50,0,18,0,57.13,12.21,no,DNA_fingerprinting,SC,1995,1997,3,April,July,Charadrius_hiaticula,Charadrius_hiaticula,Charadrius_hiaticula,Charadrius_hiaticula,monogamy,biparental,monogamy,NA,63.25,4,ground,DNA_fingerprinting,no,3,0,Weak,Mono,NA,0,18,0,50
247Maher2017,Charadrius_marginatus,white-fronted_plover,17,0,10,0,-24.05,43.73,no,microsatellite,SC,2006,2013,8,August,December,Charadrius_marginatus,Charadrius_marginatus,Anarhynchus_marginatus,Anarhynchus_marginatus,monogamy,biparental,monogamy,NA,43.55,4,ground,microsatellite,no,8,0,Weak,Mono,NA,0,10,0,17
247Maher2017,Charadrius_modestus,rufous-chested_dotterel,14,0,8,0,-52.43,-59.08,no,microsatellite,CP,2005,2008,4,September,December,Charadrius_modestus,Charadrius_modestus,Zonibyx_modestus,Zonibyx_modestus,monogamy,biparental,monogamy,NA,82.76666667,3,open,microsatellite,no,4,0,Strong,Mono,NA,0,8,0,14
247Maher2017,Charadrius_nivosus,snowy_plover,201,0,93,0,20,-100,no,microsatellite,SC,2006,2010,5,March,June,Charadrius_alexandrinus,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Anarhynchus_alexandrinus,monogamy,biparental,mixed,no,47.725,3,ground,microsatellite,no,5,0,Weak,Mono,Poly,0,93,0,201
247Maher2017,Charadrius_pecuarius,Kittlitz’s_plover,18,0,15,0,-22.03,43.65,no,microsatellite,SC,2006,2013,8,July,November,Charadrius_pecuarius,Charadrius_pecuarius,Anarhynchus_pecuarius,Anarhynchus_pecuarius,monogamy,biparental,monogamy,NA,36.91666667,3,ground,microsatellite,no,8,1,Weak,Mono,NA,0,15,0,18
247Maher2017,Charadrius_ruficapillus,red-capped_plover,7,0,4,0,-37.88,144.78,no,microsatellite,SC,2010,2014,5,August,January,Charadrius_ruficapillus,Charadrius_ruficapillus,Anarhynchus_ruficapillus,Anarhynchus_ruficapillus,monogamy,biparental,NA,NA,38.73333333,2,ground,microsatellite,no,5,1,Weak,NA,NA,0,4,0,7
479Zharikov2000,Charadrius_semipalmatus,semipalmated_plover,85,4.7,24,4.2,58.75,-95.07,no,DNA_fingerprinting,SC,1996,1997,2,June,July,Charadrius_semipalmatus,Charadrius_semipalmatus,Charadrius_semipalmatus,Charadrius_semipalmatus,monogamy,biparental,monogamy,no,50.41666667,5,ground,DNA_fingerprinting,no,2,0,Strong,Mono,NA,1,23,4,81
247Maher2017,Charadrius_thoracicus,madagascar_plover,20,0,12,0,-20,46,no,microsatellite,NA,2009,2013,5,August,December,Charadrius_thoracicus,Charadrius_thoracicus,Anarhynchus_thoracicus,Anarhynchus_thoracicus,monogamy,NA,NA,NA,30.96,2,NA,microsatellite,no,5,0,Weak,NA,NA,0,12,0,20
367Dunn1999,Chen_caerulescens,lesser_snow_goose,80,5,23,13,67.23,-100.27,no,DNA_fingerprinting,SC,1995,1995,1,June,July,Chen_caerulescens,Chen_caerulescens,Anser_caerulescens,Anser_caerulescens,monogamy,biparental,monogamy,NA,2561,6,ground,DNA_fingerprinting,no,1,1,Strong,Mono,NA,3,20,4,76
367Dunn1999,Chen_rossii,Ross’s_goose,83,2.4,24,8.3,67.23,-100.27,no,DNA_fingerprinting,M,1995,1995,1,June,July,Chen_rossii,Chen_rossii,Anser_rossii,Anser_rossii,monogamy,biparental,mixed,NA,1513.5,8,ground,DNA_fingerprinting,no,1,1,Strong,Mono,Poly,2,22,2,81
366Minias2014,Chlidonias_hybrida,whiskered_tern,37,8.1,17,11.8,51.73,18.63,no,microsatellite,"O,PL",2012,2012,1,May,August,Chlidonias_hybrida,Chlidonias_hybrida,Chlidonias_hybrida,Chlidonias_hybrida,monogamy,biparental,monogamy,NA,84.5,3,open,microsatellite,no,1,1,Strong,Mono,NA,2,15,3,34
